Document Number / PO Number,Doc Type,Party / Vendor Name,Error Reason,Tally Line Error,Tally Raw Response
"5105641086","ZIMP","Unknown Vendor","Tally import exception: exceptions=0, errors=1","","<RESPONSE>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105643175","ZCOL","90004","Voucher totals do not match! Dr: 3,78,50,000.94 Dr Cr: 3,17,96,000.94 Cr Diff: 60,54,000.00 Dr","Voucher totals do not match! Dr: 3,78,50,000.94 Dr Cr: 3,17,96,000.94 Cr Diff: 60,54,000.00 Dr","<RESPONSE>
  <LINEERROR>Voucher totals do not match! Dr: 3,78,50,000.94 Dr Cr: 3,17,96,000.94 Cr Diff: 60,54,000.00 Dr</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105643176","ZCOL","90004","Voucher totals do not match! Dr: 61,54,000.12 Dr Cr: 1,00,000.12 Cr Diff: 60,54,000.00 Dr","Voucher totals do not match! Dr: 61,54,000.12 Dr Cr: 1,00,000.12 Cr Diff: 60,54,000.00 Dr","<RESPONSE>
  <LINEERROR>Voucher totals do not match! Dr: 61,54,000.12 Dr Cr: 1,00,000.12 Cr Diff: 60,54,000.00 Dr</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105643177","ZCOL","90007","Voucher totals do not match! Dr: 60,55,245.00 Dr Cr: 1,245.00 Cr Diff: 60,54,000.00 Dr","Voucher totals do not match! Dr: 60,55,245.00 Dr Cr: 1,245.00 Cr Diff: 60,54,000.00 Dr","<RESPONSE>
  <LINEERROR>Voucher totals do not match! Dr: 60,55,245.00 Dr Cr: 1,245.00 Cr Diff: 60,54,000.00 Dr</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105643178","ZCOL","20036","Voucher totals do not match! Dr: 65,84,993.20 Dr Cr: 5,30,993.20 Cr Diff: 60,54,000.00 Dr","Voucher totals do not match! Dr: 65,84,993.20 Dr Cr: 5,30,993.20 Cr Diff: 60,54,000.00 Dr","<RESPONSE>
  <LINEERROR>Voucher totals do not match! Dr: 65,84,993.20 Dr Cr: 5,30,993.20 Cr Diff: 60,54,000.00 Dr</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105643180","ZCOL","90168","Voucher totals do not match! Dr: 72,83,824.06 Dr Cr: 1,87,751.76 Cr Diff: 70,96,072.30 Dr","Voucher totals do not match! Dr: 72,83,824.06 Dr Cr: 1,87,751.76 Cr Diff: 70,96,072.30 Dr","<RESPONSE>
  <LINEERROR>Voucher totals do not match! Dr: 72,83,824.06 Dr Cr: 1,87,751.76 Cr Diff: 70,96,072.30 Dr</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105643203","ZCOL","90170","Voucher totals do not match! Dr: 2,79,21,698.56 Dr Cr: 2,26,54,650.31 Cr Diff: 52,67,048.25 Dr","Voucher totals do not match! Dr: 2,79,21,698.56 Dr Cr: 2,26,54,650.31 Cr Diff: 52,67,048.25 Dr","<RESPONSE>
  <LINEERROR>Voucher totals do not match! Dr: 2,79,21,698.56 Dr Cr: 2,26,54,650.31 Cr Diff: 52,67,048.25 Dr</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105643204","ZCOL","90170","Voucher totals do not match! Dr: 92,41,547.88 Dr Cr: 39,74,499.63 Cr Diff: 52,67,048.25 Dr","Voucher totals do not match! Dr: 92,41,547.88 Dr Cr: 39,74,499.63 Cr Diff: 52,67,048.25 Dr","<RESPONSE>
  <LINEERROR>Voucher totals do not match! Dr: 92,41,547.88 Dr Cr: 39,74,499.63 Cr Diff: 52,67,048.25 Dr</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105643268","ZCOL","60039","Voucher totals do not match! Dr: 71,68,613.82 Dr Cr: 23,29,328.00 Cr Diff: 48,39,285.82 Dr","Voucher totals do not match! Dr: 71,68,613.82 Dr Cr: 23,29,328.00 Cr Diff: 48,39,285.82 Dr","<RESPONSE>
  <LINEERROR>Voucher totals do not match! Dr: 71,68,613.82 Dr Cr: 23,29,328.00 Cr Diff: 48,39,285.82 Dr</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105643372","ZCOL","60039","Voucher totals do not match! Dr: 77,18,968.75 Dr Cr: 28,79,682.93 Cr Diff: 48,39,285.82 Dr","Voucher totals do not match! Dr: 77,18,968.75 Dr Cr: 28,79,682.93 Cr Diff: 48,39,285.82 Dr","<RESPONSE>
  <LINEERROR>Voucher totals do not match! Dr: 77,18,968.75 Dr Cr: 28,79,682.93 Cr Diff: 48,39,285.82 Dr</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105643374","ZCOL","60039","Voucher totals do not match! Dr: 83,47,908.32 Dr Cr: 35,08,622.50 Cr Diff: 48,39,285.82 Dr","Voucher totals do not match! Dr: 83,47,908.32 Dr Cr: 35,08,622.50 Cr Diff: 48,39,285.82 Dr","<RESPONSE>
  <LINEERROR>Voucher totals do not match! Dr: 83,47,908.32 Dr Cr: 35,08,622.50 Cr Diff: 48,39,285.82 Dr</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105643379","ZCOL","60039","Voucher totals do not match! Dr: 77,18,968.75 Dr Cr: 28,79,682.93 Cr Diff: 48,39,285.82 Dr","Voucher totals do not match! Dr: 77,18,968.75 Dr Cr: 28,79,682.93 Cr Diff: 48,39,285.82 Dr","<RESPONSE>
  <LINEERROR>Voucher totals do not match! Dr: 77,18,968.75 Dr Cr: 28,79,682.93 Cr Diff: 48,39,285.82 Dr</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105643380","ZCOL","60039","Voucher totals do not match! Dr: 83,47,908.32 Dr Cr: 35,08,622.50 Cr Diff: 48,39,285.82 Dr","Voucher totals do not match! Dr: 83,47,908.32 Dr Cr: 35,08,622.50 Cr Diff: 48,39,285.82 Dr","<RESPONSE>
  <LINEERROR>Voucher totals do not match! Dr: 83,47,908.32 Dr Cr: 35,08,622.50 Cr Diff: 48,39,285.82 Dr</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105643386","ZCOL","60039","Voucher totals do not match! Dr: 78,68,580.88 Dr Cr: 30,29,295.06 Cr Diff: 48,39,285.82 Dr","Voucher totals do not match! Dr: 78,68,580.88 Dr Cr: 30,29,295.06 Cr Diff: 48,39,285.82 Dr","<RESPONSE>
  <LINEERROR>Voucher totals do not match! Dr: 78,68,580.88 Dr Cr: 30,29,295.06 Cr Diff: 48,39,285.82 Dr</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105643388","ZCOL","60039","Voucher totals do not match! Dr: 85,26,968.09 Dr Cr: 36,87,682.27 Cr Diff: 48,39,285.82 Dr","Voucher totals do not match! Dr: 85,26,968.09 Dr Cr: 36,87,682.27 Cr Diff: 48,39,285.82 Dr","<RESPONSE>
  <LINEERROR>Voucher totals do not match! Dr: 85,26,968.09 Dr Cr: 36,87,682.27 Cr Diff: 48,39,285.82 Dr</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105643412","ZCOL","60039","Voucher totals do not match! Dr: 78,96,878.12 Dr Cr: 30,57,592.30 Cr Diff: 48,39,285.82 Dr","Voucher totals do not match! Dr: 78,96,878.12 Dr Cr: 30,57,592.30 Cr Diff: 48,39,285.82 Dr","<RESPONSE>
  <LINEERROR>Voucher totals do not match! Dr: 78,96,878.12 Dr Cr: 30,57,592.30 Cr Diff: 48,39,285.82 Dr</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105643413","ZCOL","60039","Voucher totals do not match! Dr: 69,73,665.26 Dr Cr: 21,34,379.44 Cr Diff: 48,39,285.82 Dr","Voucher totals do not match! Dr: 69,73,665.26 Dr Cr: 21,34,379.44 Cr Diff: 48,39,285.82 Dr","<RESPONSE>
  <LINEERROR>Voucher totals do not match! Dr: 69,73,665.26 Dr Cr: 21,34,379.44 Cr Diff: 48,39,285.82 Dr</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105643750","ZCOL","90032","Ledger &apos;ZRTQ&apos; does not exist!","Ledger &apos;ZRTQ&apos; does not exist!","<RESPONSE>
  <LINEERROR>Ledger &apos;ZRTQ&apos; does not exist!</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105644006","ZSER","Unknown Vendor","Stock Item &apos;UNKNOWN ITEM&apos; does not exist!","Stock Item &apos;UNKNOWN ITEM&apos; does not exist!","<RESPONSE>
  <LINEERROR>Stock Item &apos;UNKNOWN ITEM&apos; does not exist!</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105644077","ZCOL","90141","Voucher totals do not match! Dr: 2,40,584.40 Dr Cr: 1,15,260.60 Cr Diff: 1,25,323.80 Dr","Voucher totals do not match! Dr: 2,40,584.40 Dr Cr: 1,15,260.60 Cr Diff: 1,25,323.80 Dr","<RESPONSE>
  <LINEERROR>Voucher totals do not match! Dr: 2,40,584.40 Dr Cr: 1,15,260.60 Cr Diff: 1,25,323.80 Dr</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105644078","ZCOL","90141","Voucher totals do not match! Dr: 1,58,323.80 Dr Cr: 33,000.00 Cr Diff: 1,25,323.80 Dr","Voucher totals do not match! Dr: 1,58,323.80 Dr Cr: 33,000.00 Cr Diff: 1,25,323.80 Dr","<RESPONSE>
  <LINEERROR>Voucher totals do not match! Dr: 1,58,323.80 Dr Cr: 33,000.00 Cr Diff: 1,25,323.80 Dr</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105644579","ZSER","Unknown Vendor","Stock Item &apos;UNKNOWN ITEM&apos; does not exist!","Stock Item &apos;UNKNOWN ITEM&apos; does not exist!","<RESPONSE>
  <LINEERROR>Stock Item &apos;UNKNOWN ITEM&apos; does not exist!</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105644640","ZSER","Unknown Vendor","Stock Item &apos;UNKNOWN ITEM&apos; does not exist!","Stock Item &apos;UNKNOWN ITEM&apos; does not exist!","<RESPONSE>
  <LINEERROR>Stock Item &apos;UNKNOWN ITEM&apos; does not exist!</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105644644","ZSER","Unknown Vendor","Stock Item &apos;UNKNOWN ITEM&apos; does not exist!","Stock Item &apos;UNKNOWN ITEM&apos; does not exist!","<RESPONSE>
  <LINEERROR>Stock Item &apos;UNKNOWN ITEM&apos; does not exist!</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105644659","ZSTO","90005","Voucher totals do not match! Dr: 4,01,093.20 Dr Cr: 2,28,875.00 Cr Diff: 1,72,218.20 Dr","Voucher totals do not match! Dr: 4,01,093.20 Dr Cr: 2,28,875.00 Cr Diff: 1,72,218.20 Dr","<RESPONSE>
  <LINEERROR>Voucher totals do not match! Dr: 4,01,093.20 Dr Cr: 2,28,875.00 Cr Diff: 1,72,218.20 Dr</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105644661","ZSTO","90005","Voucher totals do not match! Dr: 1,75,822.20 Dr Cr: 3,604.00 Cr Diff: 1,72,218.20 Dr","Voucher totals do not match! Dr: 1,75,822.20 Dr Cr: 3,604.00 Cr Diff: 1,72,218.20 Dr","<RESPONSE>
  <LINEERROR>Voucher totals do not match! Dr: 1,75,822.20 Dr Cr: 3,604.00 Cr Diff: 1,72,218.20 Dr</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105644709","ZSTO","90005","Voucher totals do not match! Dr: 10,68,828.20 Dr Cr: 8,96,610.00 Cr Diff: 1,72,218.20 Dr","Voucher totals do not match! Dr: 10,68,828.20 Dr Cr: 8,96,610.00 Cr Diff: 1,72,218.20 Dr","<RESPONSE>
  <LINEERROR>Voucher totals do not match! Dr: 10,68,828.20 Dr Cr: 8,96,610.00 Cr Diff: 1,72,218.20 Dr</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105644710","ZSTO","90005","Voucher totals do not match! Dr: 2,96,784.20 Dr Cr: 1,24,566.00 Cr Diff: 1,72,218.20 Dr","Voucher totals do not match! Dr: 2,96,784.20 Dr Cr: 1,24,566.00 Cr Diff: 1,72,218.20 Dr","<RESPONSE>
  <LINEERROR>Voucher totals do not match! Dr: 2,96,784.20 Dr Cr: 1,24,566.00 Cr Diff: 1,72,218.20 Dr</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105644718","ZSTO","90063","Voucher totals do not match! Dr: 1,80,847.20 Dr Cr: 8,629.00 Cr Diff: 1,72,218.20 Dr","Voucher totals do not match! Dr: 1,80,847.20 Dr Cr: 8,629.00 Cr Diff: 1,72,218.20 Dr","<RESPONSE>
  <LINEERROR>Voucher totals do not match! Dr: 1,80,847.20 Dr Cr: 8,629.00 Cr Diff: 1,72,218.20 Dr</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105644736","ZSTO","90005","Voucher totals do not match! Dr: 1,97,136.20 Dr Cr: 24,918.00 Cr Diff: 1,72,218.20 Dr","Voucher totals do not match! Dr: 1,97,136.20 Dr Cr: 24,918.00 Cr Diff: 1,72,218.20 Dr","<RESPONSE>
  <LINEERROR>Voucher totals do not match! Dr: 1,97,136.20 Dr Cr: 24,918.00 Cr Diff: 1,72,218.20 Dr</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105644772","ZDOM","Unknown Vendor","Stock Item &apos;UNKNOWN ITEM&apos; does not exist!","Stock Item &apos;UNKNOWN ITEM&apos; does not exist!","<RESPONSE>
  <LINEERROR>Stock Item &apos;UNKNOWN ITEM&apos; does not exist!</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105644774","ZSTO","90005","Voucher totals do not match! Dr: 8,81,803.70 Dr Cr: 7,09,585.50 Cr Diff: 1,72,218.20 Dr","Voucher totals do not match! Dr: 8,81,803.70 Dr Cr: 7,09,585.50 Cr Diff: 1,72,218.20 Dr","<RESPONSE>
  <LINEERROR>Voucher totals do not match! Dr: 8,81,803.70 Dr Cr: 7,09,585.50 Cr Diff: 1,72,218.20 Dr</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
  <LASTMID>0</LASTMID>
  <COMBINED>0</COMBINED>
  <IGNORED>0</IGNORED>
  <ERRORS>1</ERRORS>
  <CANCELLED>0</CANCELLED>
  <EXCEPTIONS>0</EXCEPTIONS>
 </RESPONSE>
 "
"5105644777","ZSTO","90005","Voucher totals do not match! Dr: 1,92,077.20 Dr Cr: 19,859.00 Cr Diff: 1,72,218.20 Dr","Voucher totals do not match! Dr: 1,92,077.20 Dr Cr: 19,859.00 Cr Diff: 1,72,218.20 Dr","<RESPONSE>
  <LINEERROR>Voucher totals do not match! Dr: 1,92,077.20 Dr Cr: 19,859.00 Cr Diff: 1,72,218.20 Dr</LINEERROR>
  <CREATED>0</CREATED>
  <ALTERED>2</ALTERED>
  <DELETED>0</DELETED>
  <LASTVCHID>0</LASTVCHID>
